Trade Date,Stock Code,Cumulative Return,Market Value,区间,Excess Return,Industry Name
20230118,000925.SZ,-0.0154047458283219,453203.2325,3.0,-0.0333983693900405,机械设备
20230120,002331.SZ,0.0013023155468199,305222.9861,2.0,-0.0210683766318202,计算机
20230201,000541.SZ,-0.0017421854077973,794042.8792,4.0,-0.002650865098062,电子
20230201,002058.SZ,-0.0357414445330966,199393.1815,1.0,-0.0366501242233613,电气设备
20230201,002145.SZ,0.0723852435028489,2403105.8362,5.0,0.0714765638125842,化工
20230201,002218.SZ,0.1111099648217177,788465.4663,4.0,0.1102012851314531,电气设备
20230201,002239.SZ,-0.0067096297217986,979463.9595,4.0,-0.0076183094120633,汽车
20230201,002527.SZ,0.0556321947871789,516422.3072,3.0,0.0547235150969143,电气设备
20230201,603656.SH,0.0354993970713906,213796.2798,1.0,0.0345907173811259,机械设备
20230202,002463.SZ,-0.0128660815840161,2670495.551,5.0,0.0037726727105827,电子
20230203,001266.SZ,-0.0258314308912813,349882.848,2.0,-0.0235669956375124,
20230203,002806.SZ,0.2273105739279659,240985.0741,1.0,0.2295750091817349,有色金属
20230208,002547.SZ,0.1644871095985027,615919.2137,3.0,0.1498090258284612,电子
20230209,002298.SZ,0.0464445259978474,538800.7359,3.0,0.0284814430877087,建筑装饰
20230209,002350.SZ,0.0327260237819153,457759.4453,2.0,0.0147629408717766,电气设备
20230215,002677.SZ,0.0895855935412843,888321.0146,4.0,0.0936127668529712,家用电器
20230215,002841.SZ,0.0677430304080883,4865897.7333,5.0,0.0717702037197752,电子
20230215,300724.SZ,-0.0158731272484847,4560118.2849,5.0,-0.0118459539367978,机械设备
20230215,300811.SZ,-0.0887532715022638,1037104.3134,4.0,-0.0847260981905769,有色金属
20230216,002151.SZ,0.0556960221441247,1628091.6035,4.0,0.0617723928701685,国防军工
20230216,603978.SH,-0.0255656249493233,388327.3828,2.0,-0.0194892542232795,有色金属
20230222,001336.SZ,0.0785181089566391,245942.91,1.0,0.0893446426093835,
