Trade Date,Stock Code,Cumulative Return,Market Value,区间,Excess Return,Industry Name
20210916,600844.SH,-0.11147443519619482,542823.9442,3.0,-0.09420749567895548,化工
20210924,002153.SZ,0.08196062675773397,3885352.3321,5.0,0.104273083051867,计算机
20211013,000150.SZ,-0.011267605633802802,347568.2326,2.0,-0.03193261362207456,医药生物
20211013,000615.SZ,0.003688304721029656,1293634.6083,4.0,-0.0169767032672421,房地产
20211022,601128.SH,0.01090909090909098,2047419.376,5.0,0.03078017690553647,银行
20211027,605286.SH,0.47407104940792144,450072.0,3.0,0.4926243766663123,机械设备
20211029,300496.SZ,0.11652275152808778,5780746.3952,5.0,0.10212590816348333,计算机
20211103,002916.SZ,0.02173211403980635,5261123.9762,5.0,0.011006591712459102,电子
20211105,002185.SZ,0.0902990517870168,3811345.2496,5.0,0.08041793340740488,电子
20211110,605259.SH,0.08363970588235303,291368.0,2.0,0.07904521532265907,机械设备
20211112,600699.SH,0.0264496439471007,3075454.2348,5.0,0.029650581070706727,汽车
20211117,300224.SZ,0.2500388742030788,1159786.2102,4.0,0.22726490132350752,有色金属
20211117,600416.SH,0.09551166965888669,2040800.0073,5.0,0.07273769677931541,电气设备
20211117,605199.SH,0.06030150753768804,988668.7262,4.0,0.03752753465811676,医药生物
20211118,002232.SZ,0.03543624161073833,471056.3686,3.0,0.020618502658597215,计算机
20211118,300706.SZ,0.0710172744721691,486682.3568,3.0,0.05619953552002799,电子
20211118,688718.SH,-0.007880664227413181,636809.8357,3.0,-0.022698403179554294,化工
20211119,300166.SZ,0.03658934988565821,1249181.4777,4.0,0.017681774476675738,计算机
20211119,300410.SZ,0.060572513047603804,505027.3808,3.0,0.041664937638621335,机械设备
20211124,002553.SZ,0.033003915718814,427344.0,2.0,0.03673861280045054,汽车
20211126,002177.SZ,0.14954742227469509,481834.0891,3.0,0.15130023439854512,计算机
20211126,300941.SZ,0.050878815911193254,692055.0,3.0,0.05263162803504329,计算机
20211201,300237.SZ,-0.03361711416721247,411219.5203,2.0,-0.029924467516602715,建筑装饰
20211202,002903.SZ,-0.14460700918679825,281999.85,1.0,-0.15373387099421765,机械设备
20211202,300948.SZ,-0.0772219524040797,387127.65,2.0,-0.08634881421149909,建筑装饰
20211209,002043.SZ,0.1033653846153848,784093.5572,3.0,0.09806489903417459,建筑材料
20211215,603126.SH,-0.009167842031029383,556165.5,3.0,0.00795593616271939,公用事业
20211216,300177.SZ,0.055173022598870025,752354.9257,3.0,0.06420392286130927,计算机
20211216,603697.SH,0.03421633554083914,576988.1352,3.0,0.04324723580327838,食品饮料
20211217,601599.SH,0.025024061597690217,379497.3821,2.0,0.03697703899744098,传媒
20211222,300108.SZ,0.03936670945656817,261077.7522,1.0,0.03588621983986151,医药生物
20211222,603566.SH,-0.024524312896405887,723366.0,3.0,-0.028004802513112548,农林牧渔
20211224,300110.SZ,0.09349418354157701,529631.4159,3.0,0.09750169522715224,医药生物
20211229,002345.SZ,0.1988194258116447,526044.7828,3.0,0.21074654167963724,轻工制造
20211229,002440.SZ,0.04313562836997109,1091824.5,4.0,0.055062744237963646,化工
20211229,300024.SZ,0.0008661133164917789,1853564.665,4.0,0.012793229184484334,机械设备
20211230,605108.SH,0.11115602263540802,484380.0,2.0,0.11621571835281175,休闲服务
