Trade Date,Stock Code,Cumulative Return,Market Value,Excess Return,Industry Name
20180104,000856.SZ,0.006958905655873426,574083.0,-0.003808932369822493,陶瓷制造
20180117,601000.SH,0.019802158745870546,2187722.5209,0.001684970100447769,港口Ⅲ
20180125,603103.SH,0.06375495442146617,187726.0,0.0958889478081778,影视动漫
20180125,603813.SH,0.07722719635919706,79363.72,0.1093611897459087,物流Ⅲ
20180131,600694.SH,-0.0736943997272822,1141978.1229,-0.00664921945412611,百货零售
20180314,002472.SZ,0.01588798032305805,564554.5544,0.02369768699888275,汽车零部件Ⅲ
20180315,000795.SZ,-0.052713333411625984,454718.607,-0.04673976860279283,磁性材料
20180322,002870.SZ,-0.03750014143366753,85223.6,0.00016898034050527588,汽车零部件Ⅲ
20180404,002900.SZ,0.09583194149372276,176873.9784,0.09246777206126411,化学制剂
20180404,300629.SZ,0.010911852140521594,149796.7608,0.007547682708062942,磨具磨料
20180411,603106.SH,-0.05172405171642114,205450.0,-0.015808632039052806,计算机设备Ⅲ
20180411,603607.SH,-0.044251397071075615,101371.0,-0.008335977393707283,包装印刷Ⅲ
20180412,002155.SZ,0.03222423178847689,1089792.0306,0.06369517518552015,黄金Ⅲ
20180413,600055.SH,-0.014352187953101558,769453.776,0.001952856389499158,医疗器械Ⅲ
20180413,600667.SH,0.0657575182806176,993522.7428,0.08206256262321832,涤纶
20180418,002023.SZ,0.1375118113289049,733779.2154,0.12123863914191246,航空装备Ⅲ
20180418,300570.SZ,0.0019192062857664727,217630.6835,-0.014353965901225951,通信传输设备
20180419,000021.SZ,0.03400637557794761,1401809.5691,0.026985788609510175,电子系统组装
20180419,600438.SH,0.05076982746289893,3263850.6928,0.043749240494461494,光伏设备
20180427,600323.SH,0.11272524637762937,1157058.6672,0.08999569302547528,水务Ⅲ
20180509,603002.SH,-0.014571993048751009,345917.3273,-0.019437795734992158,其他化学制品
20180511,300067.SZ,0.09603699168509139,290808.184,0.1061530701965896,纺织化学用品
20180516,600993.SH,0.017128130264082886,879402.9073,0.013019368596294711,中药Ⅲ
20180523,002437.SZ,0.09105573965709723,1492574.1063,0.12386303051667624,化学制剂
20180601,002433.SZ,0.04318154172342048,624433.53,0.041227751451776484,中药Ⅲ
20180614,300689.SZ,-0.1677274700899245,82280.0,-0.09213225460891838,终端设备
20180810,002523.SZ,-0.04324345214381253,455901.4034,-0.013711695139848934,重型机械
20180905,300659.SZ,-0.13237087476944853,224343.3953,-0.09444517745790393,软件开发
20181107,600635.SH,0.07990347178557111,1027986.4619,0.06370531093121112,多元金融Ⅲ
20181109,603499.SH,0.18312289914028845,63225.0,0.14991281651292754,包装印刷Ⅲ
