Trade Date,Stock Code,Cumulative Return,Market Value,Excess Return,Industry Name
20220107,605507.SH,-0.039495304419615684,260523.438,-0.024691632743267133,化学原料药
20220112,002172.SZ,-0.002300388449225199,370295.4148,-0.008491906165625673,粘胶
20220113,000019.SZ,-0.002714691260114477,310473.8847,0.00978174025047518,软饮料
20220113,000630.SZ,-0.041775587821170634,4115819.6532,-0.029279156310580978,铜
20220114,002875.SZ,0.004642373373155095,87766.0936,0.006781476650267182,其他服装
20220120,300368.SZ,-0.09138369140709468,618095.9622,-0.05409690007209367,计算机设备Ⅲ
20220121,605086.SH,-0.23544653572023955,83072.0,-0.17928908432077428,其他采掘Ⅲ
20220126,002155.SZ,-0.08838745968455153,1410965.0814,-0.0809034266282892,黄金Ⅲ
20220209,603053.SH,-7.071109093814698e-07,614174.55,-7.50099430399942e-05,燃气Ⅲ
20220217,002774.SZ,0.047566378575557344,265745.1185,0.033222209952800785,楼宇设备
20220218,603815.SH,-0.044543108307936174,253757.7504,-0.03566186225665913,路桥施工
20220223,002716.SZ,0.0474776366855032,716290.597,0.03480296233302815,其他稀有小金属
20220223,300821.SZ,0.10633602256624286,837753.0,0.09366134821376781,其他化学制品
20220223,601872.SH,-0.004434195471802793,3531297.1598,-0.01710886982427784,航运Ⅲ
20220223,603393.SH,0.02203728849579667,1000500.3789,0.009362614143321624,燃气Ⅲ
20220224,000975.SZ,0.013288082535862111,2335821.5814,0.019843574278257337,黄金Ⅲ
20220224,002237.SZ,0.03401336426471291,1139816.5745,0.040568856007108134,黄金
20220224,600596.SH,0.03916480220261587,2032801.4173,0.04572029394501109,农药
20220303,000060.SZ,-0.01957000629392802,1915638.8675,0.05888892944415025,铅锌
20220304,002379.SZ,-0.11351392523749493,327017.9557,-0.05711294373699294,铝
20220304,601598.SH,-0.16735487514937797,651489.1453,-0.11095389364887598,物流Ⅲ
20220309,002882.SZ,-0.0936368037466766,500119.5,-0.029814635457725225,线缆部件及其他
20220309,600490.SH,-0.20422594442569209,1153727.7825,-0.1404037761367407,铜
20220310,603628.SH,0.05391398211101461,387427.0,0.0708854675699051,光伏设备
20220324,600032.SH,0.007638255025864682,302224.0,0.01571357277275276,新能源发电
20220330,002433.SZ,-0.012799918620435946,512137.3616,-0.017433065199573772,中药Ⅲ
20220330,600257.SH,-0.08028164124619419,346009.5382,-0.08491478782533202,水产养殖
20220330,600470.SH,0.1070950635778356,406326.4,0.10246191699869778,磷肥
20220413,002210.SZ,-0.1309526648732795,984000.2292,-0.12007236059479065,物流Ⅲ
20220413,600787.SH,-0.11349683936295019,1425435.0326,-0.10261653508446134,物流Ⅲ
20220414,300532.SZ,-0.05476016394204131,220052.9176,-0.04142565501119411,IT服务
20220414,600618.SH,0.012564648140757528,1115761.8843,0.025899157071604728,氯碱
20220415,600307.SH,-0.11864435221705594,1597156.1431,-0.06615314754511137,普钢
20220421,600854.SH,0.12915142129429658,291935.6984,0.20379242318326463,空调
20220511,300179.SZ,0.10124338304626535,441529.9611,0.077979511567557,磨具磨料
20220512,000068.SZ,0.15692209127888446,316094.8397,0.14595405054404442,显示器件Ⅲ
20220520,600163.SH,-0.008894818500973067,952183.1014,-0.011744103184444188,造纸Ⅲ
20220526,600098.SH,-0.06515561522315982,1875760.9175,-0.0935897764171214,火电
20220601,000767.SZ,0.02791798306050519,1161984.7463,-0.00465483623575369,火电
20220601,600505.SH,-0.007955399883755598,346339.125,-0.04052821918001448,水电
20220608,000543.SZ,0.004796693493828386,789564.6263,-0.0056872396469886954,火电
20220610,300217.SZ,0.14705790586722323,512217.5883,0.12428643409295326,家电零部件
20220610,300678.SZ,-0.03758789007759389,207877.5312,-0.06035936185186386,IT服务
20220615,002094.SZ,0.034666561016429176,285157.3157,0.0162589750259321,日用化学产品
20220615,002324.SZ,0.10239066888079473,864695.2253,0.08398308289029766,改性塑料
20220615,600783.SH,0.03041110922187551,1044336.0895,0.012003523231378432,磨具磨料
20220615,601066.SH,0.01189951507868936,10755663.6148,-0.006508070911807717,证券Ⅲ
20220617,600255.SH,0.07633628574032336,469341.53,0.056646888018616615,铜
20220622,600010.SH,0.12556117554935997,7760916.8388,0.08530494143613776,普钢
20220623,300237.SZ,-2.1782563153216472e-07,391395.344,-0.033352912409594815,汽车零部件Ⅲ
20220623,600833.SH,0.04117788331188588,250302.8813,0.007825188727922594,医药商业Ⅲ
20220624,002452.SZ,-0.059420388702964844,373390.3737,-0.08677195747471866,输变电设备
20220624,002632.SZ,-0.022388408944509552,433614.3465,-0.04973997771626337,其他化学制品
20220624,300075.SZ,-0.013362602218506825,731058.3046,-0.040714170990260645,软件开发
20220624,603359.SH,0.015125558904426573,547359.792,-0.012226009867327248,园林工程Ⅲ
20220629,000859.SZ,0.013740749255523488,576309.841,0.017806786874236313,其他塑料制品
20220629,002357.SZ,0.015735548220221718,186170.0538,0.019801585838934543,公交Ⅲ
20220629,002547.SZ,-0.04726373396956518,485976.0908,-0.043197696350852355,电子零部件制造
20220629,002611.SZ,-0.020746625679557318,582499.486,-0.016680588060844492,印刷包装机械
20220629,002707.SZ,-0.028409026433094953,535252.5228,-0.024342988814382127,旅游综合Ⅲ
20220629,300182.SZ,-0.005758956719265629,1109271.3289,-0.0016929191005528033,软件开发及服务
20220629,601816.SH,0.004065499989879262,13637018.8754,0.008131537608592088,铁路运输Ⅲ
20220630,000793.SZ,-0.028000093613057997,523589.2551,-0.030342838629395796,平面媒体
20220630,002135.SZ,-0.026402981460629804,921353.4554,-0.028745726476967604,建筑施工
20220630,600420.SH,-0.07436367881775263,1016702.4899,-0.07670642383409043,化学制剂
20220701,000863.SZ,-0.045454871611174674,418661.9953,-0.041392491345107474,房地产开发Ⅲ
20220701,002161.SZ,0.02594691645863101,366924.4231,0.03000929672469821,其他电子Ⅲ
20220701,002376.SZ,-0.05821497981790391,537285.1887,-0.05415259955183671,计算机设备Ⅲ
20220701,300560.SZ,0.06042495437929052,264885.1846,0.06448733464535772,通信配套服务
20220706,001308.SZ,0.08505815184221066,169622.8463,0.12167226419878086,
20220706,600642.SH,0.0368171487916753,3066849.0191,0.0734312611482455,火电
20220707,603929.SH,-0.05526727181163926,247284.24,-0.03656119417496151,其他专业工程
