Trade Date,Stock Code,Cumulative Return,Market Value,区间,Excess Return,Industry Name
20190904,603032.SH,0.0351805728518059,467063.352,3.0,8.538041693362253e-05,交通运输
20190905,002164.SZ,-0.0801068090787716,323098.4443,2.0,-0.0995619383116744,机械设备
20190905,002314.SZ,-0.0202788339670469,958555.0096,4.0,-0.0397339631999498,房地产
20190905,600850.SH,0.2780005173305742,1045550.984,4.0,0.2585453880976713,计算机
20190906,600776.SH,0.0369499811959384,2960392.1508,5.0,0.0189539427621969,通信
20190911,000100.SZ,0.0225631768953067,5094667.8386,5.0,0.0385573431644017,电子
20190911,000622.SZ,-0.0129474485910129,234299.526,1.0,0.003046717678082,汽车
20190911,000810.SZ,-0.0308316430020282,1073763.2618,4.0,-0.0148374767329332,家用电器
20190911,002074.SZ,0.040611640907596,1582217.94,5.0,0.056605807176691,电气设备
20190911,002224.SZ,0.0047716428084523,496282.0249,3.0,0.0207658090775473,化工
20190911,002592.SZ,0.078426395939086,477412.9995,3.0,0.094420562208181,汽车
20190911,300466.SZ,-0.012673150604185,349728.7944,2.0,0.0033210156649099,电气设备
20190911,600640.SH,0.011550493302318,1287436.0309,4.0,0.027544659571413,传媒
20190912,001896.SZ,-0.0433145009416194,453331.6117,3.0,-0.0412353304551975,公用事业
20190912,300767.SZ,0.1118349619978282,324160.0,2.0,0.1139141324842502,化工
20190912,600803.SH,0.0775593008739077,1395318.8137,5.0,0.0796384713603296,化工
20190918,002671.SZ,-0.0790258449304174,242835.1746,1.0,-0.0837973594405282,建筑材料
20190919,600630.SH,-0.0062426843542725,360282.6343,2.0,0.0045968985917307,纺织服装
20190925,300329.SZ,-0.1046435578809679,217850.4574,1.0,-0.0732111923215635,轻工制造
20190925,600981.SH,-0.1232023010546501,1058428.4666,4.0,-0.0917699354952458,商业贸易
20190927,002877.SZ,-0.1323813199536859,343132.5696,2.0,-0.1464677784237044,机械设备
20191010,000400.SZ,0.0216626049282424,1013368.9455,4.0,0.0049057626692368,电气设备
20191010,603916.SH,0.0035360678925036,436717.66,3.0,-0.013220774366502,化工
20191016,002141.SZ,-0.1292633992548006,494710.2423,3.0,-0.118294308933869,电子
20191016,300246.SZ,0.1744560075685903,207591.048,1.0,0.185425097889522,医药生物
20191016,600393.SH,-0.1053223388305848,819208.062,4.0,-0.0943532485096532,房地产
20191023,002900.SZ,-0.0286686103012632,427410.0675,3.0,-0.0326138537635936,医药生物
20191025,002510.SZ,-0.0219842164599771,393203.4334,3.0,-0.0205715370490412,汽车
20191113,000729.SZ,-0.007815552950371,1882784.2798,5.0,-0.0219687023066391,食品饮料
20191120,600836.SH,0.0207140451330414,314807.7092,2.0,0.038657070687958,轻工制造
20191122,300750.SZ,0.1329883570504526,17777617.585,5.0,0.145045228773333,电气设备
20191127,600678.SH,0.0931122448979591,213930.87,1.0,0.0961642086060001,建筑材料
20191129,002091.SZ,0.1472359058565953,945939.6418,4.0,0.1361388944560992,商业贸易
20191204,002907.SZ,0.0425867507886437,762536.2338,4.0,0.0231177265269448,医药生物
20191204,300241.SZ,0.0648956356736243,352396.9306,2.0,0.0454266114119255,电子
