Stock Code,Breakout Date,Horizontal Plateau Length,Plateau Start Date
601668.SH,20221123,208,2022-04-29
601800.SH,20221123,198,2022-05-09
002205.SZ,20221124,79,2022-09-06
600610.SH,20221125,120,2022-07-28
000031.SZ,20221130,232,2022-04-12
000402.SZ,20221130,232,2022-04-12
000886.SZ,20221130,175,2022-06-08
002314.SZ,20221130,198,2022-05-16
002398.SZ,20221130,247,2022-03-28
600708.SH,20221130,230,2022-04-14
600838.SH,20221130,189,2022-05-25
603237.SH,20221130,0,
000421.SZ,20221201,85,2022-09-07
002523.SZ,20221201,107,2022-08-16
000599.SZ,20221202,171,2022-06-14
002053.SZ,20221202,179,2022-06-06
002820.SZ,20221202,92,2022-09-01
002910.SZ,20221202,93,2022-08-31
000505.SZ,20221207,194,2022-05-27
000720.SZ,20221207,148,2022-07-12
002277.SZ,20221207,135,2022-07-25
300240.SZ,20221207,205,2022-05-16
600295.SH,20221207,183,2022-06-07
600335.SH,20221207,128,2022-08-01
601933.SH,20221207,204,2022-05-17
000560.SZ,20221209,77,2022-09-23
000404.SZ,20221221,131,2022-08-12
002031.SZ,20221221,82,2022-09-30
002170.SZ,20221228,131,2022-08-19
