Stock Code,Breakout Date,Horizontal Plateau Length,Plateau Start Date
605507.SH,20220107,0,
002172.SZ,20220112,223,2021-06-03
000019.SZ,20220113,220,2021-06-07
000630.SZ,20220113,118,2021-09-17
002875.SZ,20220114,224,2021-06-04
300368.SZ,20220120,280,2021-04-15
605086.SH,20220121,137,2021-09-06
002155.SZ,20220126,126,2021-09-22
603053.SH,20220209,134,2021-09-28
002774.SZ,20220217,127,2021-10-13
603815.SH,20220218,165,2021-09-06
002716.SZ,20220223,167,2021-09-09
300821.SZ,20220223,127,2021-10-19
601872.SH,20220223,148,2021-09-28
603393.SH,20220223,126,2021-10-20
000975.SZ,20220224,261,2021-06-08
002237.SZ,20220224,164,2021-09-13
600596.SH,20220224,160,2021-09-17
000060.SZ,20220303,170,2021-09-14
002379.SZ,20220304,171,2021-09-14
601598.SH,20220304,161,2021-09-24
002882.SZ,20220309,100,2021-11-29
600490.SH,20220309,124,2021-11-05
603628.SH,20220310,87,2021-12-13
600032.SH,20220324,122,2021-11-22
002433.SZ,20220330,47,2022-02-11
600257.SH,20220330,78,2022-01-11
600470.SH,20220330,153,2021-10-28
002210.SZ,20220413,114,2021-12-20
600787.SH,20220413,210,2021-09-15
300532.SZ,20220414,87,2022-01-17
600618.SH,20220414,171,2021-10-25
600307.SH,20220415,150,2021-11-16
600854.SH,20220421,111,2021-12-31
300179.SZ,20220511,168,2021-11-24
000068.SZ,20220512,122,2022-01-10
600163.SH,20220520,161,2021-12-10
600098.SH,20220526,141,2022-01-05
000767.SZ,20220601,135,2022-01-17
600505.SH,20220601,133,2022-01-19
000543.SZ,20220608,147,2022-01-12
300217.SZ,20220610,45,2022-04-26
300678.SZ,20220610,142,2022-01-19
002094.SZ,20220615,188,2021-12-09
002324.SZ,20220615,48,2022-04-28
600783.SH,20220615,49,2022-04-27
601066.SH,20220615,264,2021-09-24
600255.SH,20220617,114,2022-02-23
600010.SH,20220622,272,2021-09-23
300237.SZ,20220623,58,2022-04-26
600833.SH,20220623,76,2022-04-08
002452.SZ,20220624,58,2022-04-27
002632.SZ,20220624,177,2021-12-29
300075.SZ,20220624,58,2022-04-27
603359.SH,20220624,170,2022-01-05
000859.SZ,20220629,121,2022-02-28
002357.SZ,20220629,168,2022-01-12
002547.SZ,20220629,168,2022-01-12
002611.SZ,20220629,287,2021-09-15
002707.SZ,20220629,91,2022-03-30
300182.SZ,20220629,69,2022-04-21
601816.SH,20220629,133,2022-02-16
000793.SZ,20220630,134,2022-02-16
002135.SZ,20220630,70,2022-04-21
600420.SH,20220630,93,2022-03-29
000863.SZ,20220701,93,2022-03-30
002161.SZ,20220701,63,2022-04-29
002376.SZ,20220701,170,2022-01-12
300560.SZ,20220701,95,2022-03-28
001308.SZ,20220706,0,
600642.SH,20220706,189,2021-12-29
603929.SH,20220707,133,2022-02-24
000885.SZ,20220714,148,2022-02-16
603869.SH,20220720,86,2022-04-25
000592.SZ,20220803,209,2022-01-06
300397.SZ,20220803,98,2022-04-27
600444.SH,20220810,61,2022-06-10
000801.SZ,20220811,44,2022-06-28
000869.SZ,20220811,44,2022-06-28
000503.SZ,20220812,109,2022-04-25
002351.SZ,20220812,107,2022-04-27
003029.SZ,20220819,154,2022-03-18
603167.SH,20220824,658,2020-11-04
000554.SZ,20220825,76,2022-06-10
600339.SH,20220825,177,2022-03-01
600482.SH,20220825,240,2021-12-28
000416.SZ,20220826,128,2022-04-20
002278.SZ,20220826,113,2022-05-05
600531.SH,20220901,22,2022-08-10
000573.SZ,20220902,154,2022-04-01
600180.SH,20220907,97,2022-06-02
600800.SH,20220907,240,2022-01-10
601669.SH,20220907,83,2022-06-16
603712.SH,20220907,41,2022-07-28
601868.SH,20220908,213,2022-02-07
002561.SZ,20220915,100,2022-06-07
002551.SZ,20220928,259,2022-01-12
002349.SZ,20221019,202,2022-03-31
002864.SZ,20221019,166,2022-05-06
002873.SZ,20221019,107,2022-07-04
603122.SH,20221019,0,
601579.SH,20221026,154,2022-05-25
300366.SZ,20221027,78,2022-08-10
300678.SZ,20221027,77,2022-08-11
000711.SZ,20221102,190,2022-04-26
300560.SZ,20221102,86,2022-08-08
600056.SH,20221102,181,2022-05-05
600572.SH,20221102,289,2022-01-17
601607.SH,20221102,218,2022-03-29
002424.SZ,20221109,222,2022-04-01
300086.SZ,20221109,119,2022-07-13
300147.SZ,20221109,167,2022-05-26
300436.SZ,20221109,226,2022-03-28
603538.SH,20221109,205,2022-04-18
002354.SZ,20221111,296,2022-01-19
002766.SZ,20221111,109,2022-07-25
603139.SH,20221111,93,2022-08-10
600664.SH,20221116,308,2022-01-12
300267.SZ,20221117,244,2022-03-18
600661.SH,20221117,143,2022-06-27
000985.SZ,20221123,78,2022-09-06
002051.SZ,20221123,177,2022-05-30
002953.SZ,20221123,121,2022-07-25
300425.SZ,20221123,121,2022-07-25
301091.SZ,20221123,55,2022-09-29
600528.SH,20221123,127,2022-07-19
601186.SH,20221123,282,2022-02-14
