Stock Code,Breakout Date,Horizontal Plateau Length,Plateau Start Date
000078.SZ,20200102,260,2019-04-17
002166.SZ,20200102,112,2019-09-12
002481.SZ,20200102,86,2019-10-08
600026.SH,20200102,104,2019-09-20
600039.SH,20200102,260,2019-04-17
600313.SH,20200102,191,2019-06-25
600598.SH,20200102,198,2019-06-18
601668.SH,20200102,163,2019-07-23
000713.SZ,20200103,183,2019-07-04
600127.SH,20200103,189,2019-06-28
600371.SH,20200103,116,2019-09-09
600489.SH,20200103,143,2019-08-13
600547.SH,20200103,107,2019-09-18
600598.SH,20200103,199,2019-06-18
600871.SH,20200103,255,2019-04-23
601952.SH,20200103,199,2019-06-18
603279.SH,20200103,0,
300099.SZ,20200108,112,2019-09-18
300182.SZ,20200108,77,2019-10-23
600052.SH,20200108,76,2019-10-24
002094.SZ,20200109,79,2019-10-22
600522.SH,20200109,266,2019-04-18
603978.SH,20200115,56,2019-11-20
300471.SZ,20200116,86,2019-10-22
300471.SZ,20200117,87,2019-10-22
000738.SZ,20200219,166,2019-09-06
600195.SH,20200226,126,2019-10-23
300698.SZ,20200306,170,2019-09-18
000833.SZ,20200401,252,2019-07-24
600557.SH,20200415,177,2019-10-21
603109.SH,20200415,0,
600315.SH,20200423,190,2019-10-16
603976.SH,20200513,93,2020-02-10
600729.SH,20200514,122,2020-01-13
000584.SZ,20200520,135,2020-01-06
300328.SZ,20200520,77,2020-03-04
300726.SZ,20200520,90,2020-02-20
688006.SH,20200520,35,2020-04-15
300073.SZ,20200521,58,2020-03-24
603722.SH,20200521,83,2020-02-28
688100.SH,20200522,0,
002138.SZ,20200527,97,2020-02-20
300708.SZ,20200527,82,2020-03-06
002600.SZ,20200603,68,2020-03-27
002666.SZ,20200603,96,2020-02-28
300044.SZ,20200603,89,2020-03-06
002181.SZ,20200605,142,2020-01-15
688081.SH,20200605,0,
002430.SZ,20200610,111,2020-02-20
300006.SZ,20200610,147,2020-01-15
000088.SZ,20200617,274,2019-09-17
000717.SZ,20200617,156,2020-01-13
300291.SZ,20200617,156,2020-01-13
603607.SH,20200617,182,2019-12-18
300822.SZ,20200618,0,
300467.SZ,20200624,161,2020-01-15
300523.SZ,20200624,125,2020-02-20
600088.SH,20200624,125,2020-02-20
002640.SZ,20200701,170,2020-01-13
300085.SZ,20200701,134,2020-02-18
600325.SH,20200701,201,2019-12-13
600718.SH,20200701,119,2020-03-04
600219.SH,20200702,171,2020-01-13
601818.SH,20200702,239,2019-11-06
002769.SZ,20200703,448,2019-04-12
600105.SH,20200703,105,2020-03-20
603093.SH,20200703,203,2019-12-13
002783.SZ,20200708,177,2020-01-13
300065.SZ,20200708,303,2019-09-09
603009.SH,20200708,126,2020-03-04
300217.SZ,20200709,125,2020-03-06
300129.SZ,20200715,182,2020-01-15
601238.SH,20200730,288,2019-10-16
002554.SZ,20200909,505,2019-04-23
600203.SH,20201021,166,2020-05-08
000030.SZ,20201030,73,2020-08-18
000612.SZ,20201104,82,2020-08-14
300835.SZ,20201104,0,
002251.SZ,20201106,94,2020-08-04
002532.SZ,20201111,89,2020-08-14
601609.SH,20201111,100,2020-08-03
603109.SH,20201112,128,2020-07-07
002191.SZ,20201118,99,2020-08-11
300657.SZ,20201119,108,2020-08-03
002495.SZ,20201120,95,2020-08-17
603738.SH,20201120,136,2020-07-07
600503.SH,20201125,106,2020-08-11
600968.SH,20201125,105,2020-08-12
601658.SH,20201125,0,
002622.SZ,20201126,100,2020-08-18
605222.SH,20201126,0,
603115.SH,20201127,142,2020-07-08
605108.SH,20201127,0,
000050.SZ,20201202,112,2020-08-12
000712.SZ,20201202,111,2020-08-13
600155.SH,20201202,121,2020-08-03
600393.SH,20201202,147,2020-07-08
600864.SH,20201202,110,2020-08-14
600261.SH,20201203,101,2020-08-24
002361.SZ,20201210,120,2020-08-12
600621.SH,20201210,133,2020-07-30
688008.SH,20201211,156,2020-07-08
002731.SZ,20201217,136,2020-08-03
600550.SH,20201223,149,2020-07-27
600125.SH,20201224,161,2020-07-16
002177.SZ,20201230,119,2020-09-02
600967.SH,20201230,124,2020-08-28
