Stock Code,Breakout Date,Horizontal Plateau Length,Plateau Start Date
002774.SZ,20190124,140,2018-09-06
300612.SZ,20190227,198,2018-08-13
300192.SZ,20190626,75,2019-04-12
600199.SH,20190628,70,2019-04-19
000671.SZ,20190703,82,2019-04-12
000712.SZ,20190703,75,2019-04-19
002407.SZ,20190703,82,2019-04-12
002946.SZ,20190703,43,2019-05-21
300545.SZ,20190703,79,2019-04-15
600383.SH,20190703,82,2019-04-12
600874.SH,20190703,90,2019-04-04
603698.SH,20190703,75,2019-04-19
000536.SZ,20190704,80,2019-04-15
000005.SZ,20190705,81,2019-04-15
002246.SZ,20190705,79,2019-04-17
002276.SZ,20190705,92,2019-04-04
002811.SZ,20190705,94,2019-04-02
600375.SH,20190705,77,2019-04-19
601375.SH,20190705,79,2019-04-17
600160.SH,20190712,85,2019-04-18
603227.SH,20190724,100,2019-04-15
000023.SZ,20190725,104,2019-04-12
300449.SZ,20190725,104,2019-04-12
300378.SZ,20190802,101,2019-04-23
300239.SZ,20190815,120,2019-04-17
000088.SZ,20190821,126,2019-04-17
000099.SZ,20190822,128,2019-04-16
300074.SZ,20190823,128,2019-04-17
002017.SZ,20190828,131,2019-04-19
002505.SZ,20190828,131,2019-04-19
002361.SZ,20190829,134,2019-04-17
600589.SH,20190830,130,2019-04-22
603032.SH,20190904,139,2019-04-18
002164.SZ,20190905,104,2019-05-24
002314.SZ,20190905,146,2019-04-12
600850.SH,20190905,139,2019-04-19
600776.SH,20190906,116,2019-05-13
000100.SZ,20190911,147,2019-04-17
000622.SZ,20190911,127,2019-05-07
000810.SZ,20190911,145,2019-04-19
002074.SZ,20190911,162,2019-04-02
002224.SZ,20190911,120,2019-05-14
002592.SZ,20190911,79,2019-06-24
300466.SZ,20190911,146,2019-04-18
600640.SH,20190911,141,2019-04-23
001896.SZ,20190912,111,2019-05-24
300767.SZ,20190912,0,
600803.SH,20190912,148,2019-04-17
002671.SZ,20190918,153,2019-04-18
600630.SH,20190919,155,2019-04-17
300329.SZ,20190925,161,2019-04-17
600981.SH,20190925,161,2019-04-17
002877.SZ,20190927,178,2019-04-02
000400.SZ,20191010,209,2019-03-15
603916.SH,20191010,176,2019-04-17
002141.SZ,20191016,76,2019-08-01
300246.SZ,20191016,181,2019-04-18
600393.SH,20191016,47,2019-08-30
002900.SZ,20191023,191,2019-04-15
002510.SZ,20191025,191,2019-04-17
000729.SZ,20191113,187,2019-05-10
600836.SH,20191120,217,2019-04-17
300750.SZ,20191122,119,2019-07-26
600678.SH,20191127,224,2019-04-17
002091.SZ,20191129,224,2019-04-19
002907.SZ,20191204,238,2019-04-10
300241.SZ,20191204,110,2019-08-16
002593.SZ,20191211,189,2019-06-05
300448.SZ,20191211,84,2019-09-18
300116.SZ,20191212,64,2019-10-09
300426.SZ,20191212,86,2019-09-17
600268.SH,20191212,237,2019-04-19
002077.SZ,20191213,182,2019-06-14
600206.SH,20191213,86,2019-09-18
000156.SZ,20191218,243,2019-04-19
000970.SZ,20191218,184,2019-06-17
600776.SH,20191218,91,2019-09-18
600831.SH,20191218,240,2019-04-22
601038.SH,20191218,142,2019-07-29
601108.SH,20191218,243,2019-04-19
002851.SZ,20191219,104,2019-09-06
002365.SZ,20191220,252,2019-04-12
300110.SZ,20191220,101,2019-09-10
000630.SZ,20191227,254,2019-04-17
